,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
556,Tugstsogt Nyambayar,Mongolia,32,173,orthodox,Super Featherweight,12,9,75,2,1,2015
557,Gary ‘Spike’,Ireland,40,178,orthodox,Middleweight,31,21,68,5,0,2008
558,Carlos Ocampo,Mexico,29,179,orthodox,Super Welterweight,35,23,66,3,0,2012
559,Kenichi Ogawa,Japan,36,173,orthodox,Super Featherweight,29,20,69,2,1,2010
560,Anthony Ogogo,United Kingdom,36,182,orthodox,Middleweight,11,7,64,1,0,2013
561,Yukinori Oguni,Japan,36,172,orthodox,Super Bantamweight,21,8,38,3,3,2009
562,Hiroki Okada,Japan,35,175,orthodox,Super Lightweight,19,13,68,1,0,2011
563,Lawrence Okolie,United Kingdom,32,196,orthodox,Heavyweight,21,16,76,1,0,2017
564,Anthony Olascuaga,United States,25,163,orthodox,Flyweight,8,6,75,1,0,2020
565,Jai Opetaia,Australia,29,191,southpaw,Cruiserweight,26,20,77,0,0,2015
566,Fres Oquendo,Puerto Rico,51,188,orthodox,Heavyweight,37,24,65,8,0,1997
567,Antonio Orozco,United States,37,170,orthodox,Super Lightweight,28,17,61,2,0,2008
568,Luis Ortiz,Cuba,45,193,southpaw,Heavyweight,34,29,85,3,0,2010
569,Victor Ortiz,United States,37,175,orthodox,Welterweight,32,25,78,7,3,2004
570,Jamaine Ortiz,United States,28,173,orthodox,Super Lightweight,18,9,50,2,1,2016
571,Vergil Ortiz,United States,26,178,orthodox,Super Welterweight,22,21,95,0,0,2016
572,Nordine Oubaali,France,38,163,orthodox,Bantamweight,17,12,71,1,0,2014
573,Diego Pacheco,United States,23,193,orthodox,Super Middleweight,22,18,82,0,0,2019
574,Manny Pacquiao,Philippines,46,166,southpaw,Welterweight,62,39,63,8,3,1995
575,Aston Palicte,Philippines,33,173,orthodox,Bantamweight,28,23,82,7,1,2010
576,Aleksei Papin,Russian Federation,37,185,orthodox,Cruiserweight,18,17,94,1,0,2015
577,Joseph Parker,New Zealand,32,193,orthodox,Heavyweight,35,23,66,3,0,2012
578,Zach Parker,United Kingdom,30,183,orthodox,Super Middleweight,25,18,72,1,0,2015
579,Liam Paro,Australia,28,174,southpaw,Super Lightweight,25,15,60,1,0,2016
580,Jean Pascal,Canada,42,179,orthodox,Cruiserweight,37,21,57,7,1,2005
581,Francesco Patera,Belgium,31,177,orthodox,Lightweight,29,11,38,5,0,2012
582,Logan Paul,United States,29,188,orthodox,Cruiserweight,1,0,0,1,0,2019
583,Jake Paul,United States,27,185,orthodox,Cruiserweight,11,7,64,1,0,2020
584,Brad Pauls,United Kingdom,31,178,orthodox,Middleweight,19,11,58,2,1,2016
585,Juan Carlos,Dominican Republic,40,165,southpaw,Super Bantamweight,21,9,43,5,0,2010
